1460607403:   
3096626743:  !
3164327214: %^
212518777: %_
793602395: %`
3964249057: %a
3756483510: %b
737007188: %c
3275985741: %d
3690375197: %e
3886314767: %f
3486569499: %g
346611260: %h
506904072: %i
1654893466: %j
4225040367: %k
2794199794: %l
1226289140: %m
1024095881: %n
4016291604: %o
2488290038: %p
3784130612: %q
2089203535: %r
154087080: %s
2183858542: %t
2892527077: %u
2725628501: %v
3629661138: %w
1467490160: %x
3525737293: %y
3827603917: %z
2677723746: %{
2625060926: %|
3832172063: %}
2651695066: %~
901929772: %
3832407773: & 
3598601643: &!
1783099636: &"
1376358022: &#
1524084873: &$
2660470356: &%
1666134810: &&
3736989983: &'
520078421: &(
2978100158: &)
2055990145: &*
575663014: &+
719778555: &,
550227061: &-
325520735: &.
2351008398: &/
3012912982: &0
1911554413: &1
1607697429: &2
698599635: &3
995262908: &4
64845616: &5
3139216645: &6
71567102: &7
2592850766: &8
2674436033: &9
2536853222: &:
2239928479: &;
4129460138: &<
3200899861: &=
3561793902: &>
1957503391: &?
3367156696: &@
750095921: &A
4023446094: &B
158301236: &C
1220354084: &D
2337107718: &E
3203758128: &F
55321554: &G
2938142998: &H
2113383526: &I
3722967055: &J
4118468557: &K
3117680949: &L
2022061236: &M
2763214078: &N
85999810: &O
396854094: &P
232319774: &Q
1117533325: &R
3266717924: &S
1827988409: &T
449245193: &U
3328280904: &V
2894480017: &W
3772678827: &X
1587643675: &Y
3765544615: &Z
784091702: &[
3793006374: &\
1657900885: &]
2020342866: &^
3369289523: &_
2322543720: &`
2219476497: &a
1511208354: &b
772843861: &c
373109169: &d
3088824546: &e
566347255: &f
4264581956: &g
2712899578: &h
1084405037: &i
2203499134: &j
2130942898: &k
3586035224: &l
2163403729: &m
4239620661: &n
1659165959: &o
4008709888: &p
4250780104: &q
703954626: &r
259162106: &s
4188340139: &t
3992440655: &u
2573832853: &v
3847754170: &w
2303325745: &x
2704605628: &y
191071664: &z
884565769: &{
1915303127: &|
1737908949: &}
2669996334: &~
1878576174: &
147241423: ' 
2561082138: '!
679099529: '"
372489224: '#
1496641038: '$
552271041: '%
4152641538: '&
518502685: ''
29955004: '(
1248042879: ')
1170399297: '*
2845318466: '+
323669221: ',
2156194143: '-
766117033: '.
482643795: '/
821776736: '0
3266908423: '1
126867306: '2
869846192: '3
2598441951: '4
834933379: '5
1238400925: '6
4274620545: '7
1730250878: '8
2186426913: '9
575333318: ':
1756785523: ';
318526832: '<
703626946: '=
3686923128: '>
670432400: '?
593262461: '@
1820233305: 'A
1600230507: 'B
155794694: 'C
1776358632: 'D
1923349079: 'E
3876569982: 'F
3405590169: 'G
1153665938: 'H
2865877897: 'I
2763616023: 'J
2056525345: 'K
4075744373: 'L
859755563: 'M
149307974: 'N
841381193: 'O
1571441235: 'P
3449790634: 'Q
1817224572: 'R
1939320544: 'S
2661701442: 'T
4054189258: 'U
244064320: 'V
1031727355: 'W
863951547: 'X
4099834009: 'Y
3615909365: 'Z
1832528045: '[
2104477640: '\
4088327794: ']
922165820: '^
3869676330: '_
299598617: '`
181306094: 'a
576853307: 'b
3743757545: 'c
1931615681: 'd
1920714805: 'e
303576874: 'f
2944982726: 'g
1930594319: 'h
2523462908: 'i
3653109340: 'j
4046923808: 'k
1714549544: 'l
212421942: 'm
2461979309: 'n
1098854793: 'o
1243357360: 'p
4266869272: 'q
1590507887: 'r
3906629680: 's
1335012971: 't
2482529368: 'u
3683480595: 'v
1754950758: 'w
14266388: 'x
3926273798: 'y
3685981372: 'z
3399827164: '{
2710736295: '|
471040189: '}
3764968842: '~
1072990775: '
1116594499: ( 
1482483714: (!
2605471311: ("
3957159578: (#
110315458: ($
4055207163: (%
2887308933: (&
944672933: ('
2292818535: ((
8339790: ()
1920125540: (*
2342689206: (+
895526597: (,
2362858227: (-
1480996202: (.
245317495: (/
2781257666: (0
1814127661: (1
723814026: (2
2760004429: (3
132728097: (4
2078285882: (5
957657285: (6
3042992139: (7
1571309231: (8
572913599: (9
777745787: (:
2913243503: (;
829781679: (<
604323368: (=
1618810047: (>
157676749: (?
2211011745: (@
902203152: (A
1064808273: (B
2119048812: (C
849565134: (D
2794097155: (E
2127864607: (F
2985220115: (G
2921186715: (H
2496941897: (I
2654764734: (J
708037523: (K
1319196831: (L
1148574330: (M
1390601281: (N
4095932625: (O
834008608: (P
1008352800: (Q
1138408595: (R
1969667526: (S
3698109177: (T
2608368208: (U
982848533: (V
1617403926: (W
3370344742: (X
1279015857: (Y
3965776356: (Z
3491387446: ([
1254054482: (\
3770401262: (]
2487010591: (^
3626404495: (_
3576829616: (`
2396296574: (a
3805673750: (b
2627307462: (c
3364417563: (d
3284789153: (e
1389663700: (f
2693125947: (g
12706877: (h
2286856229: (i
981745030: (j
2038453293: (k
4271456137: (l
137117702: (m
3985314749: (n
3294670052: (o
4292635648: (p
1389982622: (q
3978152024: (r
1684772637: (s
1147761248: (t
2396955681: (u
721132820: (v
1092958235: (w
4089325077: (x
4061551476: (y
3158084151: (z
662081634: ({
1626449617: (|
4018754228: (}
1477514905: (~
490497071: (
52212803: ) 
417266415: )!
1659950072: )"
1411831389: )#
441965556: )$
805367721: )%
3643070984: )&
219490062: )'
1998256266: )(
4258796183: ))
3199429171: )*
1192626673: )+
156952631: ),
2081934760: )-
3392564472: ).
2446602114: )/
2068445638: )0
1224378480: )1
3100351694: )2
2516563205: )3
3506269093: )4
887758836: )5
412572426: )6
1564191264: )7
1270401374: )8
820015375: )9
1118470991: ):
3903136573: );
1720676417: )<
2127555020: )=
2694670493: )>
3150006733: )?
4127868582: )@
1095272174: )A
2700689698: )B
3983523156: )C
717402441: )D
2513656708: )E
1348741510: )F
176963796: )G
646956990: )H
2420994170: )I
232975616: )J
802752733: )K
1729862079: )L
3270799345: )M
3931396749: )N
3959003225: )O
1055921376: )P
2818818296: )Q
2778297592: )R
3463713610: )S
2697228781: )T
2027088947: )U
2977011406: )V
831227291: )W
2804177090: )X
2798282597: )Y
837920264: )Z
2512705612: )[
2339311016: )\
888690636: )]
3098638438: )^
4000408642: )_
4208543059: )`
3234879908: )a
1337972833: )b
1932796920: )c
921219767: )d
3846890455: )e
3530672302: )f
300904564: )g
3879990077: )h
1556129845: )i
2334325397: )j
1032574152: )k
4151086353: )l
1575566811: )m
3589713416: )n
756821322: )o
327363048: )p
3630345053: )q
2245658129: )r
2218355907: )s
1818411190: )t
1875964975: )u
3919756219: )v
1109508422: )w
1851809143: )x
3326642345: )y
3712531191: )z
2103158275: ){
2356742672: )|
3818583924: )}
1920550563: )~
4263062358: )
4090917865: * 
636667398: *!
1337067696: *"
331646442: *#
2311254986: *$
3204838413: *%
1046779396: *&
1085990087: *'
317463995: *(
2598742496: *)
2946540871: **
361158595: *+
4156194150: *,
466350477: *-
2994532923: *.
3001101842: */
3686710540: *0
3102852064: *1
2160852548: *2
405802502: *3
2892846603: *4
3288524633: *5
1006472538: *6
2829549861: *7
438758796: *8
2071996248: *9
3013650184: *:
1158778682: *;
773919635: *<
3438809906: *=
1114185407: *>
2845586548: *?
2804624691: *@
379133985: *A
1857423932: *B
3318016010: *C
3065116536: *D
3466281381: *E
1824346895: *F
4262318545: *G
2109565692: *H
32764690: *I
340194607: *J
2800424991: *K
579237742: *L
3554021150: *M
2706514385: *N
3218200245: *O
741621490: *P
3721427933: *Q
1699369106: *R
3064959431: *S
786450557: *T
2383823682: *U
2149604657: *V
3701618700: *W
3944795252: *X
3872554912: *Y
2867764539: *Z
2753090450: *[
3279516786: *\
1564253480: *]
2776312560: *^
3809087388: *_
142569837: *`
1398751590: *a
4151507583: *b
3950907971: *c
2198873346: *d
3302830677: *e
3586761454: *f
1133013246: *g
1748129419: *h
4080258613: *i
1624272223: *j
4253197472: *k
2643529527: *l
1336987722: *m
4248260739: *n
342186361: *o
3146253086: *p
2341687866: *q
3060106572: *r
823798249: *s
1472760982: *t
1026761977: *u
620417318: *v
2102720689: *w
3979344872: *x
3379626808: *y
3210806558: *z
2391530934: *{
3047794930: *|
3034770468: *}
3629263298: *~
1207192543: *
4220347194: + 
3057373697: +!
553090896: +"
3957170084: +#
3254718054: +$
3500398665: +%
3861478340: +&
626860328: +'
2294981129: +(
2017005114: +)
52690374: +*
3615664710: ++
231896464: +,
4135493458: +-
1466718356: +.
1450877156: +/
1860232481: +0
3639607033: +1
2735189813: +2
2963353525: +3
1253151888: +4
1202828548: +5
2901099612: +6
1856491220: +7
2349491831: +8
832402221: +9
4093125720: +:
2551681258: +;
2278756053: +<
3903672953: +=
2435913243: +>
1667067582: +?
4246940346: +@
3174518422: +A
2062867279: +B
137601472: +C
956145317: +D
2983283077: +E
1827641903: +F
3577848261: +G
256027145: +H
1875407064: +I
1710119171: +J
3753610391: +K
2088341403: +L
1038092574: +M
2618641246: +N
4005241396: +O
907472672: +P
2074424884: +Q
929379533: +R
2501048549: +S
1524795929: +T
19329294: +U
2737255497: +V
10265470: +W
2873358960: +X
849723423: +Y
4078203335: +Z
1348360075: +[
4216248715: +\
3985878226: +]
1934217644: +^
2076454876: +_
1576317412: +`
3402179783: +a
1019572543: +b
1839170016: +c
4214941977: +d
1129264989: +e
30857548: +f
185938952: +g
4141281765: +h
134447266: +i
1440134223: +j
1670138221: +k
2335689917: +l
1206373095: +m
3727300189: +n
1341902404: +o
1264423005: +p
2045475520: +q
2460780204: +r
3447389192: +s
3182531639: +t
830726124: +u
2625637161: +v
850524243: +w
3113959155: +x
1358951369: +y
972223660: +z
150897837: +{
1589489946: +|
4191689785: +}
201531952: +~
2296358230: +
659185310: , 
2906026752: ,!
716692602: ,"
2219006802: ,#
254230328: ,$
3306609972: ,%
252445216: ,&
3771978404: ,'
2959713270: ,(
3161815949: ,)
1362163974: ,*
942060441: ,+
3782517061: ,,
1554318857: ,-
303080676: ,.
2493043145: ,/
3213723137: ,0
3152682330: ,1
3272430475: ,2
2644484960: ,3
2172953324: ,4
1134778407: ,5
1374591169: ,6
659896524: ,7
207689798: ,8
383897726: ,9
1050469517: ,:
1813709985: ,;
3661667216: ,<
1672280429: ,=
1882680913: ,>
1239976553: ,?
1823395554: ,@
517367399: ,A
445382662: ,B
1778248617: ,C
4205987075: ,D
4051148448: ,E
4083295614: ,F
2347333570: ,G
924510161: ,H
1144327546: ,I
28272773: ,J
295401634: ,K
111770311: ,L
2305875383: ,M
1757245936: ,N
3597492974: ,O
2692647001: ,P
46190510: ,Q
3242217308: ,R
1481241352: ,S
3643810795: ,T
445665185: ,U
4196085537: ,V
2508764476: ,W
707084184: ,X
309470459: ,Y
2432656774: ,Z
3453294404: ,[
4052963089: ,\
2376282817: ,]
3542781287: ,^
1639417355: ,_
298331590: ,`
946136762: ,a
2730506747: ,b
3714910396: ,c
3300434238: ,d
1464664955: ,e
2101849748: ,f
1270406437: ,g
1935649296: ,h
1353601584: ,i
168388660: ,j
4128376520: ,k
2094606979: ,l
1739302740: ,m
2705389313: ,n
4091761171: ,o
3929738570: ,p
1735089277: ,q
832843004: ,r
2399655640: ,s
1189799769: ,t
2289000086: ,u
3578874622: ,v
3254814820: ,w
47762907: ,x
3115928844: ,y
4247485983: ,z
1316426146: ,{
984258799: ,|
185779764: ,}
2168515598: ,~
1893630624: ,
406672509: - 
814529808: -!
1124299462: -"
3111039780: -#
2862654538: -$
143584743: -%
2237976670: -&
1899712885: -'
2941987576: -(
2328466380: -)
713622028: -*
21430376: -+
968474271: -,
3136699609: --
762713181: -.
3968132984: -/
2844681476: -0
3150065057: -1
734124989: -2
2995154146: -3
495413585: -4
2523870953: -5
3696455875: -6
3207846759: -7
3971851592: -8
1580941935: -9
2832439858: -:
2999148817: -;
1128995281: -<
356769132: -=
42228425: ->
1475113918: -?
320308166: -@
4217935662: -A
2034857130: -B
515134982: -C
4065794027: -D
3121052731: -E
3322882599: -F
663299861: -G
2901360541: -H
1454199651: -I
3096361877: -J
3324287258: -K
1000523653: -L
1222541205: -M
3745927947: -N
642358955: -O
4242914742: -P
1893809135: -Q
4164914067: -R
1598740276: -S
24938477: -T
1435879475: -U
2056653895: -V
2869961363: -W
28139958: -X
511455840: -Y
2579210033: -Z
3960377578: -[
1315504826: -\
2593510198: -]
2214342840: -^
389568962: -_
2096973889: -`
1255846262: -a
3684997505: -b
1257576286: -c
2084414937: -d
74440671: -e
94413137: -f
18566346: -g
1041403923: -h
2375079220: -i
2371707471: -j
1679130687: -k
1871197080: -l
3956122758: -m
321161550: -n
2285211055: -o
2433498433: -p
854478084: -q
4094858156: -r
540270496: -s
1075861544: -t
1954965515: -u
3864332762: -v
1055771372: -w
2291082437: -x
2232839499: -y
2213604609: -z
2414272059: -{
2406168826: -|
3302455833: -}
1501955093: -~
2659944016: -
2344230036: . 
2919743612: .!
2635151035: ."
1867365977: .#
2931800225: .$
288924243: .%
2145045305: .&
2256113344: .'
3220038553: .(
4594348: .)
3291155610: .*
155174117: .+
1311079974: .,
2247810100: .-
1612540463: ..
2759156252: ./
4196660818: .0
2898682487: .1
1230307018: .2
3232550809: .3
356617145: .4
1363378221: .5
333479770: .6
4043201569: .7
1841699863: .8
38624147: .9
2296290620: .:
1381911898: .;
3000476996: .<
3951217898: .=
3407337618: .>
3746537075: .?
1294973368: .@
1581156468: .A
2446444256: .B
1619548611: .C
4173237262: .D
3086402720: .E
3808197237: .F
524567522: .G
1362380548: .H
2916198961: .I
2754147911: .J
3566811495: .K
3265119306: .L
2868371140: .M
3221143569: .N
1836249192: .O
286243337: .P
4276501550: .Q
3979985421: .R
98315559: .S
1932014430: .T
2932795681: .U
3259566349: .V
2786415815: .W
1545233610: .X
1411307905: .Y
1281337958: .Z
2051472708: .[
418309413: .\
3539366670: .]
1420198824: .^
3035372336: ._
293870507: .`
2857825101: .a
3102424151: .b
241449127: .c
2121715641: .d
2247893266: .e
1585370325: .f
1578683365: .g
4137687471: .h
3342957739: .i
28469980: .j
73314290: .k
1845292758: .l
3283072156: .m
1023787091: .n
1790785978: .o
2050102490: .p
865672375: .q
2875994075: .r
2020150493: .s
2911536747: .t
310084567: .u
4020594953: .v
2895306984: .w
3426616000: .x
1269685416: .y
3460461286: .z
2862570174: .{
2225985636: .|
1780685741: .}
3453229119: .~
1274412373: .
2824073599: / 
1833735501: /!
2570836950: /"
492707241: /#
1453025539: /$
3862539522: /%
1576445776: /&
1110693833: /'
1900092901: /(
1099127611: /)
1220466346: /*
1331083273: /+
1506860127: /,
1060994802: /-
3057345182: /.
48759528: //
3852683364: /0
3719998339: /1
4068655851: /2
1969234738: /3
3680703450: /4
350458599: /5
2406399695: /6
2193080600: /7
1005898645: /8
1880938310: /9
1158417290: /:
1789144774: /;
3210990640: /<
3236726345: /=
130575695: />
1923195325: /?
2256981213: /@
3632374317: /A
1815712562: /B
2382075795: /C
3652683008: /D
3802120114: /E
2802636781: /F
785091939: /G
624245569: /H
25185574: /I
735239060: /J
3130697795: /K
1112088334: /L
984937078: /M
656120555: /N
1188929864: /O
553490960: /P
2063302310: /Q
2847596874: /R
3456865004: /S
3190910654: /T
2516477676: /U
972387256: /V
1645102360: /W
644780198: /X
1003094016: /Y
4066713434: /Z
2108948032: /[
3521537996: /\
600470523: /]
3744803376: /^
1474003995: /_
3271761545: /`
815702051: /a
2803425134: /b
1609526209: /c
724074511: /d
369939171: /e
392352963: /f
571397320: /g
3967955773: /h
1000558087: /i
3102539208: /j
2538083556: /k
3247822167: /l
1434615758: /m
1916379633: /n
845687619: /o
1201707432: /p
1043760869: /q
2282824954: /r
1060950756: /s
1995013663: /t
3037340562: /u
3909180930: /v
1531222981: /w
2321684913: /x
2087791129: /y
689765682: /z
3556543151: /{
2942460862: /|
2265446967: /}
2868248299: /~
2112240490: /
1320633105: 0 
337076711: 0!
1208032545: 0"
815300961: 0#
4278661970: 0$
1979165555: 0%
3688525983: 0&
554798420: 0'
1784212715: 0(
948743319: 0)
1959224633: 0*
2004139597: 0+
1238026495: 0,
3613266647: 0-
4041603299: 0.
1913896459: 0/
498700741: 00
2698807309: 01
1026599112: 02
1698100944: 03
255183708: 04
3194560891: 05
2556406548: 06
584859407: 07
2477504934: 08
2934639788: 09
3497665388: 0:
170321057: 0;
3973050897: 0<
2043737684: 0=
1546938404: 0>
2011096229: 0?
474688953: 0@
4287541389: 0A
1085295148: 0B
4111542293: 0C
16344577: 0D
673704674: 0E
3865189104: 0F
2339817259: 0G
3045246671: 0H
3690391877: 0I
159847799: 0J
3282442370: 0K
1658064947: 0L
735603707: 0M
1322834880: 0N
896913180: 0O
1582560391: 0P
1660256580: 0Q
2112252185: 0R
2823817367: 0S
2602762862: 0T
352728233: 0U
3693381488: 0V
1841379077: 0W
879569890: 0X
1467890652: 0Y
1991261152: 0Z
1272645591: 0[
1038333838: 0\
3643430295: 0]
3336857869: 0^
3823280129: 0_
3986713215: 0`
3029381961: 0a
3611388220: 0b
782414076: 0c
1181962077: 0d
2887724096: 0e
3811307099: 0f
2090019572: 0g
3772657775: 0h
2217431163: 0i
3796725780: 0j
1431412598: 0k
4282156129: 0l
1008956126: 0m
3132253097: 0n
798244462: 0o
67429243: 0p
3758602071: 0q
1911786293: 0r
2684285815: 0s
2043767775: 0t
4178171314: 0u
4001561260: 0v
1807651165: 0w
3007362141: 0x
1152024562: 0y
3559850330: 0z
1468264016: 0{
320372392: 0|
3731569066: 0}
3416984789: 0~
4268770455: 0
2459398815: 1 
3971963790: 1!
1354540364: 1"
4208837205: 1#
2937014627: 1$
2666880857: 1%
3055371301: 1&
4129408103: 1'
3399263351: 1(
2076874987: 1)
1347536807: 1*
2251245826: 1+
1698942902: 1,
520276894: 1-
2440214630: 1.
2237469353: 1/
834969498: 10
920210718: 11
3033372860: 12
97361058: 13
3306584243: 14
3452750288: 15
3811737970: 16
2481376672: 17
2904113914: 18
3865292200: 19
3925166986: 1:
2813916173: 1;
1990805034: 1<
1149202339: 1=
2836776957: 1>
1792475970: 1?
3317076035: 1@
2402251768: 1A
217343216: 1B
1934970927: 1C
3257312071: 1D
1804337279: 1E
363524056: 1F
2539067290: 1G
2369629975: 1H
2899724135: 1I
1056277127: 1J
963712701: 1K
2928352217: 1L
902899778: 1M
1610763571: 1N
1570805653: 1O
2316039553: 1P
2715849605: 1Q
101546762: 1R
466705098: 1S
2543028308: 1T
1251402887: 1U
544183409: 1V
1490478406: 1W
1503242340: 1X
4106968203: 1Y
2132970450: 1Z
1305377818: 1[
4191382017: 1\
732490825: 1]
3426150597: 1^
3168892407: 1_
2115427802: 1`
891915335: 1a
1092589972: 1b
4110859573: 1c
3037887830: 1d
1934582654: 1e
2281777738: 1f
206218786: 1g
328423111: 1h
1976058078: 1i
2707736856: 1j
595641638: 1k
3802561919: 1l
1330532436: 1m
1850193924: 1n
1217954989: 1o
1616060493: 1p
1058986324: 1q
3684638115: 1r
3131302494: 1s
1274576841: 1t
2040923536: 1u
2309093370: 1v
1351225538: 1w
2380372746: 1x
3914670505: 1y
2094247901: 1z
4253196627: 1{
1668439397: 1|
4010169413: 1}
3132865027: 1~
816913741: 1
2863644364: 2 
1598503676: 2!
3165045452: 2"
818879450: 2#
3228677553: 2$
1842598532: 2%
725606840: 2&
1204386014: 2'
220696047: 2(
2288356914: 2)
1540528459: 2*
478279923: 2+
1465146881: 2,
2904245966: 2-
797759374: 2.
806744508: 2/
924471192: 20
329576423: 21
1599200544: 22
2830397068: 23
2774297847: 24
2047765672: 25
4099163901: 26
